左x,左y,右x,右y,右x-左x,右y-左y
166,114,10,8,-156,-106
167,115,11,8,-156,-107
167,115,12,8,-155,-107
168,115,13,8,-155,-107
170,114,14,8,-156,-106
172,115,15,8,-157,-107
173,115,16,8,-157,-107
173,115,17,8,-156,-107
175,114,18,8,-157,-106
176,114,19,8,-157,-106
176,114,20,8,-156,-106
178,115,21,8,-157,-107
178,115,22,8,-156,-107
179,114,23,8,-156,-106
181,114,24,8,-157,-106
182,115,25,8,-157,-107
183,115,26,8,-157,-107
152,115,0,9,-152,-106
153,116,1,9,-152,-107
154,115,2,9,-152,-106
156,116,3,9,-153,-107
158,115,4,9,-154,-106
160,115,5,9,-155,-106
162,115,6,9,-156,-106
164,114,7,9,-157,-105
164,114,8,9,-156,-105
165,114,9,9,-156,-105
166,114,10,9,-156,-105
167,115,11,9,-156,-106
167,115,12,9,-155,-106
169,116,13,9,-156,-107
170,116,14,9,-156,-107
171,116,15,9,-156,-107
172,116,16,9,-156,-107
173,117,17,9,-156,-108
174,116,18,9,-156,-107
176,115,19,9,-157,-106
177,115,20,9,-157,-106
178,116,21,9,-157,-107
178,116,22,9,-156,-107
180,116,23,9,-157,-107
181,116,24,9,-157,-107
182,116,25,9,-157,-107
183,116,26,9,-157,-107
153,116,0,10,-153,-106
153,116,1,10,-152,-106
154,115,2,10,-152,-105
156,116,3,10,-153,-106
157,116,4,10,-153,-106
159,117,5,10,-154,-107
161,117,6,10,-155,-107
163,116,7,10,-156,-106
163,116,8,10,-155,-106
164,115,9,10,-155,-105
166,114,10,10,-156,-104
167,115,11,10,-156,-105
167,115,12,10,-155,-105
169,116,13,10,-156,-106
170,117,14,10,-156,-107
171,118,15,10,-156,-108
171,118,16,10,-155,-108
173,118,17,10,-156,-108
174,118,18,10,-156,-108
175,117,19,10,-156,-107
176,117,20,10,-156,-107
178,116,21,10,-157,-106
179,117,22,10,-157,-107
181,117,23,10,-158,-107
181,117,24,10,-157,-107
181,117,25,10,-156,-107
183,118,26,10,-157,-108
154,117,0,11,-154,-106
154,117,1,11,-153,-106
155,117,2,11,-153,-106
156,117,3,11,-153,-106
157,117,4,11,-153,-106
159,118,5,11,-154,-107
161,118,6,11,-155,-107
163,118,7,11,-156,-107
163,118,8,11,-155,-107
164,117,9,11,-155,-106
166,116,10,11,-156,-105
167,115,11,11,-156,-104
167,115,12,11,-155,-104
169,116,13,11,-156,-105
170,117,14,11,-156,-106
171,118,15,11,-156,-107
172,119,16,11,-156,-108
173,120,17,11,-156,-109
175,119,18,11,-157,-108
176,118,19,11,-157,-107
176,118,20,11,-156,-107
178,118,21,11,-157,-107
178,118,22,11,-156,-107
180,118,23,11,-157,-107
